date,image_name,no_distortion_pixel_mean,no_distortion_count,distortion_pixel_mean,distortion_count,total_mean,total_count
20210911130954,FA0002_GW01_H01_0002_20210911130954_farm_image_real_bd387c40.jpg,3882.0,26,4695.0,12,4139.0,38
20210928130037,FA0002_GW01_H02_0015_20210928130037_farm_image_real_0031cee4.jpg,6496.0,28,6606.0,15,6458.0,40
20210903130635,FA0002_GW01_H02_0015_20210903130635_farm_image_real_6fc0f522.jpg,2079.0,39,2421.0,20,2139.0,40
20210920130222,FA0002_GW01_H02_0013_20210920130222_farm_image_real_ef61c5f1.jpg,4349.0,28,4989.0,19,4624.0,40
20210919131057,FA0002_GW01_H02_0013_20210919131057_farm_image_real_15794785.jpg,4766.0,13,5084.0,13,4925.0,26
20210912130854,FA0002_GW01_H01_0002_20210912130854_farm_image_real_1cfbe476.jpg,4505.0,31,4731.0,7,4547.0,38
20210920130354,FA0002_GW01_H01_0001_20210920130354_farm_image_real_82a347ca.jpg,5653.0,33,6392.0,14,5857.0,40
20210921130854,FA0002_GW01_H02_0010_20210921130854_farm_image_real_7c12a763.jpg,4854.0,20,5397.0,14,5078.0,34
20210921130328,FA0002_GW01_H01_0001_20210921130328_farm_image_real_cee9eb97.jpg,6002.0,23,6834.0,17,6355.0,40
20210929130048,FA0002_GW01_H02_0013_20210929130048_farm_image_real_4e56da46.jpg,6040.0,18,7014.0,15,6483.0,33
20210908130928,FA0002_GW01_H01_0002_20210908130928_farm_image_real_3b868e96.jpg,3496.0,39,4115.0,14,3596.0,40
20210908130826,FA0002_GW01_H02_0015_20210908130826_farm_image_real_46324df1.jpg,2749.0,46,2970.0,24,2862.0,40
20210923130338,FA0002_GW01_H01_0007_20210923130338_farm_image_real_b984d9c1.jpg,6672.0,18,7190.0,22,6957.0,40
20210904130143,FA0002_GW01_H02_0010_20210904130143_farm_image_real_744a2df3.jpg,2123.0,57,2246.0,19,2141.0,40
20210913130013,FA0002_GW01_H02_0013_20210913130013_farm_image_real_2e8ff387.jpg,3337.0,57,3729.0,23,3524.0,40
20210912130741,FA0002_GW01_H01_0001_20210912130741_farm_image_real_d1bfe109.jpg,4012.0,42,4863.0,10,4201.0,40
20210917130322,FA0002_GW01_H02_0015_20210917130322_farm_image_real_ccf37b58.jpg,4143.0,36,4498.0,15,4313.0,40
20210906130131,FA0002_GW01_H02_0010_20210906130131_farm_image_real_c5006166.jpg,2312.0,52,2558.0,19,2343.0,40
20210922130352,FA0002_GW01_H01_0002_20210922130352_farm_image_real_37f4bd15.jpg,6391.0,15,7158.0,13,6747.0,28
20210916130804,FA0002_GW01_H02_0010_20210916130804_farm_image_real_0099600b.jpg,4038.0,32,4204.0,17,4063.0,40
20210929130838,FA0002_GW01_H01_0002_20210929130838_farm_image_real_9631934c.jpg,6852.0,11,7548.0,6,7097.0,17
20210914130821,FA0002_GW01_H02_0015_20210914130821_farm_image_real_e311df93.jpg,3793.0,39,4151.0,17,3951.0,40
20210916130219,FA0002_GW01_H01_0002_20210916130219_farm_image_real_696f6931.jpg,5075.0,29,5790.0,9,5244.0,38
20210910130140,FA0002_GW01_H02_0013_20210910130140_farm_image_real_e64198b1.jpg,2874.0,45,3034.0,23,2966.0,40
20210918130647,FA0002_GW01_H02_0013_20210918130647_farm_image_real_b843ca22.jpg,4517.0,29,4660.0,26,4664.0,40
20210905130356,FA0002_GW01_H02_0015_20210905130356_farm_image_real_b0b66cfb.jpg,2144.0,51,2348.0,13,2186.0,40
20210922130324,FA0002_GW01_H02_0015_20210922130324_farm_image_real_5d851e9c.jpg,5230.0,37,5780.0,14,5443.0,40
20210914130418,FA0002_GW01_H02_0013_20210914130418_farm_image_real_a5023db0.jpg,3287.0,47,3944.0,18,3510.0,40
20210916130607,FA0002_GW01_H02_0013_20210916130607_farm_image_real_873934da.jpg,3969.0,35,4287.0,21,4154.0,40
20210912130825,FA0002_GW01_H02_0013_20210912130825_farm_image_real_98a459b5.jpg,2996.0,50,3348.0,17,3043.0,40
20210910130616,FA0002_GW01_H01_0002_20210910130616_farm_image_real_b94d3210.jpg,4094.0,21,4312.0,12,4173.0,33
20210907130351,FA0002_GW01_H02_0010_20210907130351_farm_image_real_1a0e2d0f.jpg,2275.0,65,2447.0,16,2285.0,40
20210925130741,FA0002_GW01_H02_0010_20210925130741_farm_image_real_1f406fd9.jpg,5475.0,25,6078.0,8,5621.0,33
20210928130315,FA0002_GW01_H01_0001_20210928130315_farm_image_real_1e402b7b.jpg,6473.0,25,6954.0,15,6653.0,40
20210926130133,FA0002_GW01_H02_0010_20210926130133_farm_image_real_49aef520.jpg,5643.0,24,6380.0,22,6072.0,40
20210922130723,FA0002_GW01_H02_0013_20210922130723_farm_image_real_e2715c99.jpg,4997.0,19,5482.0,13,5194.0,32
20210906130332,FA0002_GW01_H02_0015_20210906130332_farm_image_real_94618a4a.jpg,2352.0,49,2567.0,27,2373.0,40
20210923130821,FA0002_GW01_H02_0013_20210923130821_farm_image_real_b3a8a9c5.jpg,4916.0,23,5394.0,19,5146.0,40
20210918130844,FA0002_GW01_H02_0010_20210918130844_farm_image_real_ef8d19d0.jpg,4121.0,19,4354.0,26,4208.0,40
20210905130948,FA0002_GW01_H02_0010_20210905130948_farm_image_real_46afbd90.jpg,2356.0,42,2406.0,26,2376.0,40
20210925130342,FA0002_GW01_H02_0013_20210925130342_farm_image_real_b942e6a4.jpg,5424.0,16,6496.0,14,5924.0,30
20210907131005,FA0002_GW01_H01_0002_20210907131005_farm_image_real_8f4b4730.jpg,3312.0,41,3594.0,12,3379.0,40
20210902130955,FA0002_GW01_H01_0001_20210902130955_farm_image_real_f6d52e91.jpg,2671.0,61,2886.0,17,2738.0,40
20210909130204,FA0002_GW01_H01_0002_20210909130204_farm_image_real_623e986a.jpg,3891.0,25,4549.0,10,4079.0,35
20210927130252,FA0002_GW01_H02_0010_20210927130252_farm_image_real_6b9dca86.jpg,5626.0,14,6423.0,20,6095.0,34
20210908130606,FA0002_GW01_H01_0001_20210908130606_farm_image_real_829dfee2.jpg,3565.0,41,4026.0,12,3694.0,40
20210926130241,FA0002_GW01_H01_0002_20210926130241_farm_image_real_1173faa0.jpg,6610.0,9,6799.0,9,6705.0,18
20210901130730,FA0002_GW01_H01_0001_20210901130730_farm_image_real_284b9010.jpg,2443.0,57,2682.0,20,2504.0,40
20210915130855,FA0002_GW01_H01_0002_20210915130855_farm_image_real_466a2e00.jpg,4550.0,20,5179.0,14,4809.0,34
