수집시간,수집장비ID,축사번호,모듈ID,센서타입,측정값,센서시간
2021-09-17 07:16:54,GW01,H02,2003,humidity,71.98986,20210917071654
2021-09-17 07:16:54,GW01,H02,2003,temp,24.5,20210917071654
2021-09-17 07:18:48,GW01,H01,1100,nh3,0.020409,20210101000000
2021-09-17 07:19:01,GW01,H02,2001,temp,24.51379,20210101000000
2021-09-17 07:18:48,GW01,H01,1100,co2,0,20210101000000
2021-09-17 07:22:31,GW01,H01,2002,humidity,82.55352,20210917072229
2021-09-17 07:22:31,GW01,H01,2002,temp,24,20210917072229
2021-09-17 07:22:52,GW01,H01,1102,co2,493,20210916222051
2021-09-17 07:23:01,GW01,H02,2001,humidity,81.04314,20210101000000
2021-09-17 07:22:52,GW01,H01,1102,nh3,0.978208,20210916222051
2021-09-17 07:25:18,GW01,H01,2000,humidity,85.10004,20210101000000
2021-09-17 07:25:17,GW01,H01,2000,temp,23.90001,20210101000000
2021-09-17 07:26:54,GW01,H02,2003,temp,24.5,20210917072654
2021-09-17 07:26:54,GW01,H02,2003,humidity,72.55258,20210917072654
2021-09-17 07:28:49,GW01,H01,1100,nh3,0.022078,20210101000000
2021-09-17 07:29:01,GW01,H02,2001,temp,24.59999,20210101000000
2021-09-17 07:28:49,GW01,H01,1100,co2,0,20210101000000
2021-09-17 07:32:31,GW01,H01,2002,humidity,83.6362,20210917073230
2021-09-17 07:32:31,GW01,H01,2002,temp,23.9569,20210917073230
2021-09-17 07:33:01,GW01,H02,2001,humidity,81.60865,20210101000000
2021-09-17 07:32:53,GW01,H01,1102,nh3,0.995758,20210916223052
2021-09-17 07:32:53,GW01,H01,1102,co2,498,20210916223052
2021-09-17 07:35:18,GW01,H01,2000,humidity,85.9322,20210101000000
2021-09-17 07:35:17,GW01,H01,2000,temp,23.89662,20210101000000
2021-09-17 07:36:54,GW01,H02,2003,humidity,72.99308,20210917073652
2021-09-17 07:36:54,GW01,H02,2003,temp,24.49828,20210917073652
2021-09-17 07:38:50,GW01,H01,1100,nh3,0.021979,20210101000000
2021-09-17 07:39:01,GW01,H02,2001,temp,24.56206,20210101000000
2021-09-17 07:38:50,GW01,H01,1100,co2,0,20210101000000
2021-09-17 07:42:31,GW01,H01,2002,temp,23.89832,20210917074230
2021-09-17 07:42:31,GW01,H01,2002,humidity,83.84742,20210917074230
2021-09-17 07:42:55,GW01,H01,1102,co2,487,20210916224053
2021-09-17 07:42:55,GW01,H01,1102,nh3,0.974767,20210916224053
