org_file_name,db_weight_prediction_pixel_mean,jetson_weight_prediction_pixel_mean,delta,create_time
FA0002_GW01_H01_0007_20211125121039_farm_image_real_c06b97f14b31.jpg,10184.0,1629.0,8555.0,2021-11-25 12:10:39
FA0002_GW01_H02_0014_20211125121236_farm_image_real_861f2f224519.jpg,10268.0,1893.0,8375.0,2021-11-25 12:12:36
FA0002_GW01_H01_0002_20211125121428_farm_image_real_9fc52be6466a.jpg,9572.0,1592.0,7980.0,2021-11-25 12:14:28
FA0002_GW01_H01_0001_20211125121728_farm_image_real_cb8d35c74953.jpg,8831.0,1551.0,7280.0,2021-11-25 12:17:28
FA0002_GW01_H02_0013_20211125121838_farm_image_real_f53d1a6a4ca0.jpg,9498.0,1658.0,7840.0,2021-11-25 12:18:38
FA0002_GW01_H02_0010_20211125121845_farm_image_real_561f1b4342ff.jpg,8895.0,1625.0,7270.0,2021-11-25 12:18:45
FA0002_GW01_H02_0015_20211125122036_farm_image_real_24ea94234bf7.jpg,10017.0,1658.0,8359.0,2021-11-25 12:20:36
FA0002_GW01_H01_0007_20211125122045_farm_image_real_62cf389d40b3.jpg,7371.0,1186.0,6185.0,2021-11-25 12:20:45
FA0002_GW01_H01_0002_20211125122428_farm_image_real_095174e44550.jpg,9646.0,1414.0,8232.0,2021-11-25 12:24:28
FA0002_GW01_H01_0001_20211125122805_farm_image_real_6413d19f4146.jpg,9824.0,1712.0,8112.0,2021-11-25 12:28:05
FA0002_GW01_H02_0012_20211125122832_farm_image_real_045972fc419a.jpg,9682.0,1663.0,8019.0,2021-11-25 12:28:32
FA0002_GW01_H02_0013_20211125122839_farm_image_real_9c46be834460.jpg,9407.0,1654.0,7753.0,2021-11-25 12:28:39
FA0002_GW01_H02_0010_20211125123029_farm_image_real_87cb5cc44d36.jpg,11450.0,1680.0,9770.0,2021-11-25 12:30:29
FA0002_GW01_H02_0014_20211125123236_farm_image_real_6061f3a245d8.jpg,10015.0,1443.0,8572.0,2021-11-25 12:32:36
FA0002_GW01_H01_0001_20211125123805_farm_image_real_19afad494c8f.jpg,10224.0,1932.0,8292.0,2021-11-25 12:38:05
FA0002_GW01_H02_0013_20211125123845_farm_image_real_e4276683480e.jpg,11221.0,1917.0,9304.0,2021-11-25 12:38:45
FA0002_GW01_H02_0012_20211125124029_farm_image_real_a34a5a534d66.jpg,8145.0,1230.0,6915.0,2021-11-25 12:40:29
FA0002_GW01_H02_0015_20211125124044_farm_image_real_9368695f4cb6.jpg,9356.0,1590.0,7766.0,2021-11-25 12:40:44
FA0002_GW01_H02_0010_20211125124226_farm_image_real_0fc396fc41ed.jpg,9497.0,1627.0,7870.0,2021-11-25 12:42:26
FA0002_GW01_H02_0014_20211125124444_farm_image_real_0500c4f949fb.jpg,9202.0,1702.0,7500.0,2021-11-25 12:44:44
FA0002_GW01_H01_0002_20211125124629_farm_image_real_9a88599f4e74.jpg,9178.0,1686.0,7492.0,2021-11-25 12:46:29
FA0002_GW01_H01_0001_20211125124807_farm_image_real_71e222b24d5f.jpg,9905.0,1563.0,8342.0,2021-11-25 12:48:07
FA0002_GW01_H02_0012_20211125125032_farm_image_real_5162c82245dd.jpg,7739.0,1757.0,5982.0,2021-11-25 12:50:32
FA0002_GW01_H02_0013_20211125125050_farm_image_real_871d511a4083.jpg,10157.0,1624.0,8533.0,2021-11-25 12:50:50
FA0002_GW01_H02_0010_20211125125234_farm_image_real_5866c5a448cd.jpg,8604.0,1427.0,7177.0,2021-11-25 12:52:34
FA0002_GW01_H02_0015_20211125125236_farm_image_real_1bac42df4d94.jpg,11554.0,1636.0,9918.0,2021-11-25 12:52:36
FA0002_GW01_H01_0007_20211125125439_farm_image_real_8ebac71f4306.jpg,8154.0,4053.0,4101.0,2021-11-25 12:54:39
FA0002_GW01_H02_0014_20211125125631_farm_image_real_3a689ebb440f.jpg,10399.0,1873.0,8526.0,2021-11-25 12:56:31
FA0002_GW01_H01_0001_20211125125814_farm_image_real_8defb82b4a7d.jpg,11034.0,1797.0,9237.0,2021-11-25 12:58:14
FA0002_GW01_H01_0002_20211125125825_farm_image_real_4c2cd5fe4c5e.jpg,10686.0,1960.0,8726.0,2021-11-25 12:58:25
FA0002_GW01_H02_0012_20211125130235_farm_image_real_652642174947.jpg,8065.0,1522.0,6543.0,2021-11-25 13:02:35
FA0002_GW01_H02_0013_20211125130238_farm_image_real_01c17c2f4b0c.jpg,9982.0,1802.0,8180.0,2021-11-25 13:02:38
FA0002_GW01_H02_0015_20211125130240_farm_image_real_05e41ef34d72.jpg,10838.0,1784.0,9054.0,2021-11-25 13:02:40
FA0002_GW01_H02_0010_20211125130433_farm_image_real_d22c9a704dbe.jpg,9078.0,1687.0,7391.0,2021-11-25 13:04:33
FA0002_GW01_H01_0007_20211125130444_farm_image_real_5f7dae02442d.jpg,7535.0,2076.0,5459.0,2021-11-25 13:04:44
FA0002_GW01_H01_0001_20211125130815_farm_image_real_537f9e614102.jpg,9112.0,1710.0,7402.0,2021-11-25 13:08:15
FA0002_GW01_H01_0002_20211125130827_farm_image_real_b9ec08f14c8f.jpg,9670.0,1768.0,7902.0,2021-11-25 13:08:27
FA0002_GW01_H02_0012_20211125131429_farm_image_real_f6de55794730.jpg,10526.0,1779.0,8747.0,2021-11-25 13:14:29
FA0002_GW01_H02_0015_20211125131431_farm_image_real_2152fb6f4518.jpg,9688.0,1634.0,8054.0,2021-11-25 13:14:31
FA0002_GW01_H02_0010_20211125131627_farm_image_real_7dd1d5ed42fe.jpg,9702.0,1562.0,8140.0,2021-11-25 13:16:27
FA0002_GW01_H02_0012_20211125132431_farm_image_real_6639fe99461f.jpg,8725.0,1493.0,7232.0,2021-11-25 13:24:31
FA0002_GW01_H02_0013_20211125132438_farm_image_real_54b90f4d42a4.jpg,9240.0,1597.0,7643.0,2021-11-25 13:24:38
FA0002_GW01_H02_0010_20211125132827_farm_image_real_a71b25e94d80.jpg,9048.0,1508.0,7540.0,2021-11-25 13:28:27
FA0002_GW01_H01_0001_20211125132830_farm_image_real_dfb4b2454100.jpg,9876.0,1781.0,8095.0,2021-11-25 13:28:30
FA0002_GW01_H01_0002_20211125133227_farm_image_real_22abb44c40d1.jpg,9160.0,1573.0,7587.0,2021-11-25 13:32:27
FA0002_GW01_H02_0015_20211125133433_farm_image_real_a0d62f394876.jpg,10035.0,1664.0,8371.0,2021-11-25 13:34:33
FA0002_GW01_H02_0013_20211125133442_farm_image_real_9925d9ba425a.jpg,9586.0,1648.0,7938.0,2021-11-25 13:34:42
FA0002_GW01_H02_0012_20211125133629_farm_image_real_c67937eb4aa6.jpg,10266.0,1655.0,8611.0,2021-11-25 13:36:29
FA0002_GW01_H02_0010_20211125133830_farm_image_real_9306d0fc42e1.jpg,8456.0,1507.0,6949.0,2021-11-25 13:38:30
FA0002_GW01_H01_0001_20211125133839_farm_image_real_0f8f315c476b.jpg,9986.0,1707.0,8279.0,2021-11-25 13:38:39
FA0002_GW01_H02_0014_20211125134030_farm_image_real_3a697a64443a.jpg,10729.0,1627.0,9102.0,2021-11-25 13:40:30
FA0002_GW01_H02_0015_20211125134436_farm_image_real_a756cf6743c8.jpg,10307.0,1650.0,8657.0,2021-11-25 13:44:36
FA0002_GW01_H02_0013_20211125134635_farm_image_real_b2ab10ff44b7.jpg,11422.0,1800.0,9622.0,2021-11-25 13:46:35
FA0002_GW01_H02_0012_20211125134829_farm_image_real_f64d88eb4fcd.jpg,9591.0,1516.0,8075.0,2021-11-25 13:48:29
FA0002_GW01_H02_0010_20211125134833_farm_image_real_38f174d74709.jpg,8892.0,1638.0,7254.0,2021-11-25 13:48:33
FA0002_GW01_H01_0001_20211125134846_farm_image_real_3801bb614e46.jpg,8644.0,1498.0,7146.0,2021-11-25 13:48:46
FA0002_GW01_H01_0007_20211125134852_farm_image_real_9cf28864470e.jpg,10709.0,1719.0,8990.0,2021-11-25 13:48:52
FA0002_GW01_H02_0014_20211125135030_farm_image_real_4e89486e41cc.jpg,9707.0,1650.0,8057.0,2021-11-25 13:50:30
FA0002_GW01_H01_0002_20211125135432_farm_image_real_58f81d834922.jpg,10592.0,1758.0,8834.0,2021-11-25 13:54:32
FA0002_GW01_H02_0013_20211125135642_farm_image_real_5342519f43ae.jpg,10446.0,1709.0,8737.0,2021-11-25 13:56:42
FA0002_GW01_H02_0015_20211125135642_farm_image_real_dcdb64c04eb3.jpg,10240.0,1885.0,8355.0,2021-11-25 13:56:42
FA0002_GW01_H02_0012_20211125135829_farm_image_real_efc876ba45f9.jpg,8275.0,1377.0,6898.0,2021-11-25 13:58:29
FA0002_GW01_H01_0001_20211125135852_farm_image_real_c75102aa4335.jpg,10150.0,1842.0,8308.0,2021-11-25 13:58:52
FA0002_GW01_H02_0010_20211125140034_farm_image_real_12064c754596.jpg,9674.0,1606.0,8068.0,2021-11-25 14:00:34
FA0002_GW01_H02_0014_20211125140038_farm_image_real_9523f1b244b7.jpg,9373.0,1626.0,7747.0,2021-11-25 14:00:38
FA0002_GW01_H01_0002_20211125140627_farm_image_real_14ea3d254c67.jpg,10097.0,1596.0,8501.0,2021-11-25 14:06:27
FA0002_GW01_H02_0015_20211125140642_farm_image_real_e2aebf5f496c.jpg,10244.0,1623.0,8621.0,2021-11-25 14:06:42
FA0002_GW01_H02_0013_20211125140644_farm_image_real_20790bc845f3.jpg,9605.0,1736.0,7869.0,2021-11-25 14:06:44
FA0002_GW01_H01_0001_20211125140853_farm_image_real_bb189adc42ee.jpg,10023.0,1751.0,8272.0,2021-11-25 14:08:53
FA0002_GW01_H02_0012_20211125141027_farm_image_real_d7aee3944052.jpg,8374.0,1548.0,6826.0,2021-11-25 14:10:27
FA0002_GW01_H02_0014_20211125141232_farm_image_real_4c6223ca471c.jpg,9968.0,1659.0,8309.0,2021-11-25 14:12:32
