,CREATE_TIME,HOUSE_ID,MODULE_ID,WEIGHT_PREDICTION_WEIGHT,WEIGHT_PREDICTION_PIXEL_MEDIAN
265,2022-01-20 20:48:12,H03,"CT08,5",41.4,
266,2022-01-20 20:48:23,H03,"CT09,8",44.5,
267,2022-01-20 20:48:33,H03,"CT10,11",40.2,
268,2022-01-20 20:50:38,H01,"CT02,5",51.4,
269,2022-01-20 20:51:46,H01,"CT01,2",38.3,
270,2022-01-20 21:02:37,H02,"CT04,2",53.8,
271,2022-01-20 21:02:45,H02,"CT05,5",48.9,
272,2022-01-20 21:02:58,H02,"CT06,8",49.1,
273,2022-01-20 21:03:02,H03,"CT07,2",39.0,
274,2022-01-20 21:03:12,H03,"CT08,5",46.8,
275,2022-01-20 21:03:24,H03,"CT09,8",46.9,
276,2022-01-20 21:03:34,H03,"CT10,11",42.1,
277,2022-01-20 21:05:15,H01,"CT02,5",46.9,
278,2022-01-20 21:17:33,H02,"CT04,2",47.1,
279,2022-01-20 21:17:45,H02,"CT05,5",50.8,
280,2022-01-20 21:17:55,H02,"CT06,8",48.7,
281,2022-01-20 21:18:12,H03,"CT08,5",44.6,
282,2022-01-20 21:18:19,H01,"CT01,2",53.9,
283,2022-01-20 21:18:24,H03,"CT09,8",42.1,
284,2022-01-20 21:18:27,H01,"CT02,5",51.3,
285,2022-01-20 21:18:35,H03,"CT10,11",44.8,
286,2022-01-20 21:23:18,H01,"CT03,8",8.0,
287,2022-01-20 21:32:34,H02,"CT04,2",46.9,
288,2022-01-20 21:32:45,H02,"CT05,5",50.3,
289,2022-01-20 21:32:48,H01,"CT01,2",55.6,
290,2022-01-20 21:32:53,H01,"CT02,5",56.6,
291,2022-01-20 21:32:55,H02,"CT06,8",48.4,
292,2022-01-20 21:33:02,H03,"CT07,2",38.9,
293,2022-01-20 21:33:13,H03,"CT08,5",42.8,
294,2022-01-20 21:33:23,H03,"CT09,8",42.7,
295,2022-01-20 21:33:34,H03,"CT10,11",41.7,
296,2022-01-20 21:34:21,H01,"CT03,8",41.3,
297,2022-01-21 00:02:32,H02,"CT04,2",43.1,
298,2022-01-21 00:02:39,H01,"CT01,2",54.4,
299,2022-01-21 00:02:44,H02,"CT05,5",46.9,
300,2022-01-21 00:02:54,H02,"CT06,8",51.4,
301,2022-01-21 00:02:54,H01,"CT02,5",53.6,
302,2022-01-21 00:03:02,H03,"CT07,2",45.4,
303,2022-01-21 00:03:12,H03,"CT08,5",48.3,
304,2022-01-21 00:03:22,H03,"CT09,8",40.6,
305,2022-01-21 00:03:33,H03,"CT10,11",39.5,
306,2022-01-21 00:05:36,H01,"CT03,8",34.3,
307,2022-01-21 00:17:33,H02,"CT04,2",38.3,
308,2022-01-21 00:17:44,H02,"CT05,5",47.1,
309,2022-01-21 00:17:54,H02,"CT06,8",48.3,
310,2022-01-21 00:18:02,H03,"CT07,2",43.4,
311,2022-01-21 00:18:09,H01,"CT01,2",53.1,
312,2022-01-21 00:18:12,H03,"CT08,5",46.0,
313,2022-01-21 00:18:13,H01,"CT02,5",51.1,
314,2022-01-21 00:18:22,H03,"CT09,8",40.4,
315,2022-01-21 00:18:35,H03,"CT10,11",40.0,
316,2022-01-21 00:19:06,H01,"CT03,8",37.0,
317,2022-01-21 00:32:35,H02,"CT04,2",44.9,
318,2022-01-21 00:32:44,H02,"CT05,5",52.2,
319,2022-01-21 00:32:49,H01,"CT01,2",51.1,
320,2022-01-21 00:32:54,H02,"CT06,8",52.8,
321,2022-01-21 00:33:01,H01,"CT02,5",49.9,
322,2022-01-21 00:33:02,H03,"CT07,2",47.9,
323,2022-01-21 00:33:12,H03,"CT08,5",45.4,
324,2022-01-21 00:33:23,H03,"CT09,8",43.8,
325,2022-01-21 00:33:33,H03,"CT10,11",38.8,
326,2022-01-21 00:47:32,H02,"CT04,2",53.6,
327,2022-01-21 00:47:42,H02,"CT05,5",51.5,
328,2022-01-21 00:47:52,H01,"CT02,5",54.8,
329,2022-01-21 00:47:54,H01,"CT01,2",51.4,
330,2022-01-21 00:47:54,H02,"CT06,8",47.0,
331,2022-01-21 00:48:01,H03,"CT07,2",44.9,
332,2022-01-21 00:48:12,H03,"CT08,5",45.0,
333,2022-01-21 00:48:23,H03,"CT09,8",41.8,
334,2022-01-21 00:48:35,H03,"CT10,11",44.2,
335,2022-01-21 01:02:33,H02,"CT04,2",46.6,
336,2022-01-21 01:02:44,H02,"CT05,5",54.1,
337,2022-01-21 01:02:54,H02,"CT06,8",48.8,
338,2022-01-21 01:03:01,H03,"CT07,2",47.0,
339,2022-01-21 01:03:12,H03,"CT08,5",51.2,
340,2022-01-21 01:03:22,H03,"CT09,8",45.2,
341,2022-01-21 01:03:25,H01,"CT02,5",51.8,
342,2022-01-21 01:03:33,H03,"CT10,11",46.1,
343,2022-01-21 01:04:00,H01,"CT01,2",54.0,
344,2022-01-21 01:17:34,H02,"CT04,2",44.7,
345,2022-01-21 01:17:44,H02,"CT05,5",49.0,
346,2022-01-21 01:17:54,H02,"CT06,8",53.4,
347,2022-01-21 01:18:02,H03,"CT07,2",37.3,
348,2022-01-21 01:18:14,H03,"CT08,5",41.3,
349,2022-01-21 01:18:24,H03,"CT09,8",43.4,
350,2022-01-21 01:18:36,H03,"CT10,11",38.4,
351,2022-01-21 01:19:56,H01,"CT01,2",49.3,
352,2022-01-21 01:21:30,H01,"CT02,5",79.1,
353,2022-01-21 01:32:33,H02,"CT04,2",48.3,
354,2022-01-21 01:32:44,H02,"CT05,5",51.7,
355,2022-01-21 01:32:45,H01,"CT02,5",52.0,
356,2022-01-21 01:32:49,H01,"CT01,2",50.8,
357,2022-01-21 01:32:55,H02,"CT06,8",45.6,
358,2022-01-21 01:33:02,H03,"CT07,2",42.4,
359,2022-01-21 01:33:12,H03,"CT08,5",47.9,
360,2022-01-21 01:33:23,H03,"CT09,8",42.7,
361,2022-01-21 01:33:34,H03,"CT10,11",40.3,
362,2022-01-21 01:36:16,H01,"CT03,8",9.5,
363,2022-01-21 01:47:33,H02,"CT04,2",50.5,
364,2022-01-21 01:47:45,H02,"CT05,5",45.6,
365,2022-01-21 01:47:54,H02,"CT06,8",50.7,
366,2022-01-21 01:48:02,H03,"CT07,2",45.3,
367,2022-01-21 01:48:05,H01,"CT02,5",52.3,
368,2022-01-21 01:48:05,H01,"CT01,2",37.0,
369,2022-01-21 01:48:12,H03,"CT08,5",48.4,
370,2022-01-21 01:48:23,H03,"CT09,8",44.2,
371,2022-01-21 01:48:34,H03,"CT10,11",43.6,
372,2022-01-21 02:02:33,H02,"CT04,2",47.8,
373,2022-01-21 02:02:43,H02,"CT05,5",49.5,
374,2022-01-21 02:02:54,H02,"CT06,8",45.1,
375,2022-01-21 02:02:55,H01,"CT02,5",48.8,
376,2022-01-21 02:03:02,H03,"CT07,2",41.8,
377,2022-01-21 02:03:12,H03,"CT08,5",42.5,
378,2022-01-21 02:03:23,H03,"CT09,8",40.6,
379,2022-01-21 02:03:34,H03,"CT10,11",40.1,
380,2022-01-21 02:17:32,H02,"CT04,2",50.0,
381,2022-01-21 02:17:43,H02,"CT05,5",51.8,
382,2022-01-21 02:17:52,H01,"CT02,5",57.1,
383,2022-01-21 02:17:53,H01,"CT01,2",55.8,
384,2022-01-21 02:17:55,H02,"CT06,8",50.7,
385,2022-01-21 02:18:02,H03,"CT07,2",47.6,
386,2022-01-21 02:18:12,H03,"CT08,5",47.5,
387,2022-01-21 02:18:22,H03,"CT09,8",43.8,
388,2022-01-21 02:18:33,H03,"CT10,11",39.3,
389,2022-01-21 02:32:33,H02,"CT04,2",52.1,
390,2022-01-21 02:32:48,H02,"CT05,5",49.6,
391,2022-01-21 02:32:56,H02,"CT06,8",50.4,
392,2022-01-21 02:33:02,H03,"CT07,2",44.8,
393,2022-01-21 02:33:12,H03,"CT08,5",48.0,
394,2022-01-21 02:33:22,H03,"CT09,8",48.5,
395,2022-01-21 02:33:34,H03,"CT10,11",44.4,
396,2022-01-21 02:34:03,H01,"CT02,5",31.2,
397,2022-01-21 02:47:34,H02,"CT04,2",45.8,
398,2022-01-21 02:47:44,H02,"CT05,5",56.0,
399,2022-01-21 02:47:55,H02,"CT06,8",50.9,
400,2022-01-21 02:48:02,H03,"CT07,2",40.9,
401,2022-01-21 02:48:11,H01,"CT02,5",48.8,
402,2022-01-21 02:48:13,H03,"CT08,5",50.5,
403,2022-01-21 02:48:23,H03,"CT09,8",45.3,
404,2022-01-21 02:48:34,H03,"CT10,11",41.6,
405,2022-01-21 02:49:18,H01,"CT01,2",57.6,
406,2022-01-21 02:52:27,H01,"CT03,8",36.8,
407,2022-01-21 03:02:33,H02,"CT04,2",51.9,
408,2022-01-21 03:02:48,H02,"CT05,5",48.5,
409,2022-01-21 03:02:58,H02,"CT06,8",43.5,
410,2022-01-21 03:03:01,H03,"CT07,2",38.8,
411,2022-01-21 03:03:12,H03,"CT08,5",49.3,
412,2022-01-21 03:03:24,H03,"CT09,8",47.0,
413,2022-01-21 03:03:31,H01,"CT02,5",47.8,
414,2022-01-21 03:03:33,H03,"CT10,11",45.7,
415,2022-01-21 03:10:33,H01,"CT03,8",34.6,
416,2022-01-21 03:17:35,H02,"CT04,2",50.2,
417,2022-01-21 03:17:46,H02,"CT05,5",54.6,
418,2022-01-21 03:17:59,H02,"CT06,8",47.6,
419,2022-01-21 03:18:02,H03,"CT07,2",46.2,
420,2022-01-21 03:18:12,H03,"CT08,5",39.0,
421,2022-01-21 03:18:23,H03,"CT09,8",41.7,
422,2022-01-21 03:18:34,H03,"CT10,11",37.6,
423,2022-01-21 03:32:33,H02,"CT04,2",42.1,
424,2022-01-21 03:32:44,H02,"CT05,5",42.9,
425,2022-01-21 03:32:54,H02,"CT06,8",42.4,
426,2022-01-21 03:33:02,H03,"CT07,2",47.5,
427,2022-01-21 03:33:12,H03,"CT08,5",47.6,
428,2022-01-21 03:33:24,H03,"CT09,8",46.4,
429,2022-01-21 03:33:35,H03,"CT10,11",41.3,
430,2022-01-21 03:35:07,H01,"CT01,2",56.8,
431,2022-01-21 03:46:35,H01,"CT03,8",34.7,
432,2022-01-21 03:47:37,H02,"CT04,2",52.7,
433,2022-01-21 03:47:44,H02,"CT05,5",50.8,
434,2022-01-21 03:47:54,H02,"CT06,8",49.4,
435,2022-01-21 03:48:02,H03,"CT07,2",43.2,
436,2022-01-21 03:48:12,H03,"CT08,5",45.3,
437,2022-01-21 03:48:24,H01,"CT01,2",46.3,
438,2022-01-21 03:48:24,H03,"CT09,8",42.2,
439,2022-01-21 03:48:34,H03,"CT10,11",39.5,
440,2022-01-21 03:49:59,H01,"CT03,8",35.5,
441,2022-01-21 04:02:35,H02,"CT04,2",44.7,
442,2022-01-21 04:02:43,H01,"CT01,2",54.6,
443,2022-01-21 04:02:44,H02,"CT05,5",42.4,
