수집시간,수집장비ID,축사번호,모듈ID,센서타입,측정값,센서시간
2021-07-02 11:08:39,GW01,1,00000001,nh3,11.21,20210702110837
2021-07-02 11:07:49,GW01,1,00000001,humidity,75.02335,20210702110747
2021-07-02 11:07:49,GW01,1,00000001,temp,26.79001,20210702110747
2021-07-02 11:06:39,GW01,1,00000001,nh3,9.84,20210702110637
2021-07-02 11:06:39,GW01,1,00000001,co2,407.88,20210702110637
2021-07-02 11:05:49,GW01,1,00000001,humidity,75.05663,20210702110546
2021-07-02 11:05:49,GW01,1,00000001,temp,26.78834,20210702110546
2021-07-02 11:04:39,GW01,1,00000001,nh3,7.10,20210702110437
2021-07-02 11:04:39,GW01,1,00000001,co2,405.43,20210702110437
2021-07-02 11:03:49,GW01,1,00000001,temp,26.78815,20210702110346
2021-07-02 11:03:49,GW01,1,00000001,humidity,75.27459,20210702110346
2021-07-02 11:02:39,GW01,1,00000001,co2,402.56,20210702110239
2021-07-02 11:02:39,GW01,1,00000001,nh3,3.95,20210702110239
2021-07-02 11:01:49,GW01,1,00000001,humidity,74.83668,20210702110148
2021-07-02 11:01:49,GW01,1,00000001,temp,26.79668,20210702110148
2021-07-02 11:00:39,GW01,1,00000001,co2,402.49,20210702110039
2021-07-02 11:00:39,GW01,1,00000001,nh3,3.86,20210702110039
2021-07-02 10:59:49,GW01,1,00000001,humidity,75.52669,20210702105948
2021-07-02 10:59:49,GW01,1,00000001,temp,26.78501,20210702105948
2021-07-02 10:58:40,GW01,1,00000001,co2,402.49,20210702105839
2021-07-02 10:58:40,GW01,1,00000001,nh3,3.86,20210702105839
2021-07-02 10:57:49,GW01,1,00000001,humidity,74.45501,20210702105748
2021-07-02 10:57:49,GW01,1,00000001,temp,26.76667,20210702105748
2021-07-02 10:56:39,GW01,1,00000001,co2,402.46,20210702105639
2021-07-02 10:56:39,GW01,1,00000001,nh3,3.82,20210702105639
2021-07-02 10:55:49,GW01,1,00000001,humidity,73.98501,20210702105548
2021-07-02 10:55:49,GW01,1,00000001,temp,26.74667,20210702105548
2021-07-02 10:54:39,GW01,1,00000001,co2,402.42,20210702105439
2021-07-02 10:54:39,GW01,1,00000001,nh3,3.76,20210702105439
2021-07-02 10:53:49,GW01,1,00000001,temp,26.75166,20210702105348
2021-07-02 10:53:49,GW01,1,00000001,humidity,74.06167,20210702105348
2021-07-02 10:52:39,GW01,1,00000001,nh3,3.70,20210702105239
2021-07-02 10:52:39,GW01,1,00000001,co2,402.37,20210702105239
2021-07-02 10:51:49,GW01,1,00000001,temp,26.77668,20210702105148
2021-07-02 10:51:49,GW01,1,00000001,humidity,74.26667,20210702105148
2021-07-02 10:50:42,GW01,1,00000001,co2,402.33,20210702105039
2021-07-02 10:50:42,GW01,1,00000001,nh3,3.65,20210702105039
2021-07-02 10:49:52,GW01,1,00000001,humidity,74.22832,20210702104948
2021-07-02 10:49:52,GW01,1,00000001,temp,26.76334,20210702104948
2021-07-02 10:48:40,GW01,1,00000001,nh3,3.52,20210702104839
2021-07-02 10:48:40,GW01,1,00000001,co2,402.24,20210702104839
2021-07-02 10:47:49,GW01,1,00000001,humidity,75.46499,20210702104748
2021-07-02 10:47:49,GW01,1,00000001,temp,26.74335,20210702104748
2021-07-02 10:46:39,GW01,1,00000001,nh3,3.40,20210702104639
2021-07-02 10:46:39,GW01,1,00000001,co2,402.16,20210702104639
2021-07-02 10:45:49,GW01,1,00000001,humidity,75.80334,20210702104548
2021-07-02 10:45:49,GW01,1,00000001,temp,26.66165,20210702104548
2021-07-02 10:44:39,GW01,1,00000001,nh3,3.33,20210702104439
2021-07-02 10:44:39,GW01,1,00000001,co2,402.10,20210702104439
2021-07-02 10:43:49,GW01,1,00000001,temp,26.62665,20210702104348
2021-07-02 10:43:49,GW01,1,00000001,humidity,75.82002,20210702104348
2021-07-02 10:42:39,GW01,1,00000001,co2,402.05,20210702104238
2021-07-02 10:42:39,GW01,1,00000001,nh3,3.26,20210702104238
2021-07-02 10:41:49,GW01,1,00000001,humidity,75.86499,20210702104148
2021-07-02 10:41:49,GW01,1,00000001,temp,26.59999,20210702104148
2021-07-02 10:40:39,GW01,1,00000001,nh3,3.17,20210702104038
2021-07-02 10:40:39,GW01,1,00000001,co2,401.98,20210702104038
2021-07-02 10:39:49,GW01,1,00000001,humidity,75.95333,20210702103948
2021-07-02 10:39:49,GW01,1,00000001,temp,26.58999,20210702103948
2021-07-02 10:38:40,GW01,1,00000001,nh3,3.10,20210702103838
2021-07-02 10:38:40,GW01,1,00000001,co2,401.94,20210702103838
2021-07-02 10:37:49,GW01,1,00000001,temp,26.525,20210702103748
2021-07-02 10:37:49,GW01,1,00000001,humidity,76.07667,20210702103748
2021-07-02 10:36:39,GW01,1,00000001,nh3,3.06,20210702103638
2021-07-02 10:36:39,GW01,1,00000001,co2,401.91,20210702103638
2021-07-02 10:35:49,GW01,1,00000001,temp,26.48667,20210702103548
2021-07-02 10:35:49,GW01,1,00000001,humidity,76.09335,20210702103548
2021-07-02 10:34:40,GW01,1,00000001,nh3,3.14,20210702103438
2021-07-02 10:34:40,GW01,1,00000001,co2,401.96,20210702103438
2021-07-02 10:33:49,GW01,1,00000001,humidity,76.47167,20210702103348
2021-07-02 10:33:49,GW01,1,00000001,temp,26.41668,20210702103348
2021-07-02 10:32:39,GW01,1,00000001,co2,402.05,20210702103238
2021-07-02 10:32:39,GW01,1,00000001,nh3,3.26,20210702103238
2021-07-02 10:31:49,GW01,1,00000001,temp,26.38335,20210702103147
2021-07-02 10:31:49,GW01,1,00000001,humidity,76.78667,20210702103147
2021-07-02 10:30:39,GW01,1,00000001,co2,402.04,20210702103038
2021-07-02 10:30:39,GW01,1,00000001,nh3,3.24,20210702103038
2021-07-02 10:29:49,GW01,1,00000001,temp,26.37501,20210702102947
2021-07-02 10:29:49,GW01,1,00000001,humidity,77.09499,20210702102947
2021-07-02 10:28:39,GW01,1,00000001,nh3,3.26,20210702102838
2021-07-02 10:28:39,GW01,1,00000001,co2,402.05,20210702102838
2021-07-02 10:27:49,GW01,1,00000001,temp,26.30835,20210702102747
2021-07-02 10:27:49,GW01,1,00000001,humidity,77.57499,20210702102747
2021-07-02 10:26:39,GW01,1,00000001,co2,402.02,20210702102638
